식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
고추잡채,메인 반찬,볶음류,100ml,69.0,4.27,4.19,4.01,1.51,1.6,160.0,400.0
고추장볶음,메인 반찬,볶음류,100ml,396.0,34.64,9.54,25.57,14.29,3.6,1670.0,54.0
고추장아찌 무침,서브 반찬2,생채·무침류,100ml,62.0,13.91,1.54,0.9,4.8,3.1,697.0,37.0
고등어찌개,국,찌개 및 전골류,100ml,38.0,2.02,3.5,1.69,0.9,0.5,193.0,451.0
고등어찜,메인 반찬,찜류,100ml,92.0,3.21,8.57,4.88,1.02,1.4,159.0,191.0
고등어튀김,서브 반찬,튀김류,100ml,126.0,2.29,6.23,9.68,0.08,0.1,262.0,100.0
고디국(다슬기맑은국),국,국 및 탕류,100ml,17.0,1.57,1.36,0.71,0.23,0.9,96.0,300.0
고사리나물,서브 반찬2,나물·숙채류,100ml,56.0,4.89,3.73,3.14,0.38,3.7,1301.0,82.0
고등어구이,메인 반찬,구이류,100ml,185.0,4.52,13.11,12.04,0.08,0.13,277.0,103.33
고등어조림,메인 반찬,조림류,100ml,99.5,5.38,9.02,4.54,2.3,1.6,381.5,152.5
고구마튀김,서브 반찬,튀김류,100ml,193.0,29.37,2.7,6.87,5.91,1.9,17.0,166.0
고기만두,메인 반찬,만두류,100ml,114.0,16.96,5.87,2.16,0.16,1.3,173.0,382.0
고구마밥,밥,밥류,100ml,139.0,30.47,2.31,0.35,1.6,1.0,2.0,272.0
고구마줄기나물,서브 반찬2,나물·숙채류,100ml,29.33,3.53,1.07,1.3,0.38,1.97,156.0,96.67
계란빵,서브 반찬,빵 및 과자류,100ml,158.0,27.72,5.94,1.81,1.38,0.9,191.0,150.0
고구마맛탕,서브 반찬,튀김류,100ml,209.0,40.14,1.0,4.95,12.48,2.4,6.0,152.0
게맛살튀김,서브 반찬,튀김류,100ml,213.0,26.31,6.09,8.61,1.57,0.5,440.0,167.0
게조림,메인 반찬,조림류,100ml,93.0,1.48,18.88,0.81,0.67,0.2,656.0,132.0
겨자채,서브 반찬2,생채·무침류,100ml,120.0,4.02,5.43,8.88,2.31,1.0,18.0,150.0
검정콩밥,밥,밥류,100ml,121.0,24.31,3.21,0.81,0.35,1.2,1.0,300.0
강낭콩밥,밥,밥류,100ml,112.0,23.99,2.31,0.34,0.14,1.1,1.0,300.0
건새우 미역국,국,국 및 탕류,100ml,28.0,0.92,3.84,1.04,0.0,0.6,364.0,320.0
건새우볶음,메인 반찬,볶음류,100ml,109.0,5.45,9.9,5.12,1.52,0.5,944.0,100.0
감자탕,국,찌개 및 전골류,100ml,68.0,3.36,4.66,3.96,0.4,1.3,145.0,420.0
감자튀김,서브 반찬,튀김류,100ml,103.0,14.28,1.9,4.36,0.0,2.6,376.0,201.0
곰탕,국,국 및 탕류,100ml,140.0,12.67,7.54,5.94,0.64,0.6,558.0,195.0
곤드레밥,밥,밥류,100ml,124.0,26.8,2.23,0.94,0.15,4.4,9.0,500.0
곤약조림,메인 반찬,조림류,100ml,31.0,5.19,0.82,1.46,1.5,2.1,235.0,122.0
골뱅이무침,서브 반찬2,생채·무침류,100ml,69.0,10.29,5.98,0.84,6.24,1.7,386.0,150.0
고추조림,메인 반찬,조림류,100ml,37.0,5.95,2.5,0.57,1.08,1.65,405.0,80.0
고추튀김,서브 반찬,튀김류,100ml,218.0,26.51,5.91,9.24,0.84,2.8,278.0,65.0
고춧잎나물,서브 반찬2,나물·숙채류,100ml,41.0,7.13,3.83,0.68,0.39,2.2,131.0,70.0
기장밥,밥,밥류,100ml,114.5,24.52,2.26,0.35,0.16,0.65,1.0,410.0
근대 된장국,국,국 및 탕류,100ml,12.0,1.66,0.93,0.29,0.31,0.9,232.0,320.0
근대나물,서브 반찬2,나물·숙채류,100ml,56.0,6.4,2.54,2.85,0.88,2.9,460.0,100.0
굴비구이,메인 반찬,구이류,100ml,530.0,0.6,59.2,29.73,0.0,0.0,549.0,52.0
굴전,서브 반찬,전·적 및 부침류,100ml,213.0,13.98,11.92,11.55,1.02,0.6,483.0,74.0
군만두,메인 반찬,만두류,100ml,219.0,25.22,8.51,9.25,0.44,5.3,237.0,257.0
굴 미역국,국,국 및 탕류,100ml,16.0,1.9,1.89,0.47,0.12,1.2,382.0,280.0
굴국,국,국 및 탕류,100ml,18.0,0.98,1.95,0.65,0.14,0.3,233.0,320.0
과일샐러드,서브 반찬2,생채·무침류,100ml,108.0,15.1,0.53,5.67,12.12,2.5,37.0,135.0
광어 매운탕,국,찌개 및 전골류,100ml,62.0,2.6,8.96,1.74,0.61,1.0,54.0,600.0
김치볶음,메인 반찬,볶음류,100ml,65.0,4.51,3.74,3.55,2.32,2.34,373.2,151.4
김치국,국,국 및 탕류,100ml,13.0,1.71,0.92,0.33,0.64,1.0,231.5,227.5
김치만두,메인 반찬,만두류,100ml,28.0,3.4,1.84,0.72,0.11,0.4,177.0,1211.0
김치 고기만두,메인 반찬,만두류,100ml,294.0,42.4,16.23,5.23,1.44,3.4,552.0,118.0
김치 돼지고기볶음,메인 반찬,볶음류,100ml,113.0,4.26,8.11,6.61,2.27,2.0,294.0,50.0
김치 된장국,국,국 및 탕류,100ml,15.0,1.97,1.08,0.38,0.71,1.1,239.0,280.0
김치 청국장찌개,국,찌개 및 전골류,100ml,29.0,3.04,2.55,0.72,0.68,1.4,197.0,340.0
김치 콩나물국,국,국 및 탕류,100ml,10.0,1.12,1.16,0.24,0.38,0.7,181.0,320.0
김밥,밥,밥류,100ml,125.0,20.71,4.36,2.5,0.74,1.18,202.5,382.5
김부각,서브 반찬,튀김류,100ml,415.0,55.06,14.91,18.8,0.81,11.2,342.0,19.0
김말이튀김,서브 반찬,튀김류,100ml,132.0,19.56,1.06,5.42,0.02,0.6,183.0,100.0
꽈리고추찜,메인 반찬,찜류,100ml,36.0,6.55,1.31,0.68,0.89,1.3,155.0,110.0
낙지 덮밥,밥,밥류,100ml,92.0,16.1,3.82,1.23,2.35,1.2,146.0,900.0
꽃게장,김치,젓갈류,100ml,98.0,9.66,12.68,1.31,4.01,4.1,394.0,50.0
꽃게탕,국,찌개 및 전골류,100ml,31.0,2.12,4.86,0.28,0.95,0.7,309.0,296.0
꽈리고추볶음,메인 반찬,볶음류,100ml,123.67,9.62,7.03,6.5,3.54,1.63,636.33,87.0
꽁치구이,메인 반찬,구이류,100ml,196.0,2.81,21.64,10.1,0.0,0.1,279.0,100.0
꽁치조림,메인 반찬,조림류,100ml,86.33,5.63,10.0,2.55,2.22,1.63,371.0,175.0
꽁치튀김,서브 반찬,튀김류,100ml,105.0,2.4,5.31,7.84,0.0,0.1,222.0,100.0
꼬리곰탕,국,국 및 탕류,100ml,113.0,6.99,6.89,6.15,0.86,0.5,417.0,217.0
